	article_id	article_auteur	article_section	article_titre	article_page	revue_annee	revue_numero	chapitre	article_SPE_seance
1316	BSPE-1914-118	TRAUTMANN (R.)	Communication	Inoculation positive de Trypanosoma cazalboui à un Cercopithecus patas.	118	1914	7	Séance du 11 février 1914. Communications. Inoculation positive de Trypanosoma Cazalboui à un Cercopithecus patas, par R. Trautmann	11 février 1914
1317	BSPE-1914-121	DELANOË (P.)	Communication	Au sujet de l’existence chez un saurien, Agama colonorum Dum. et Bibr., d’une filaire et d’une microfilaire sanguines.	121	1914	7	Séance du 11 février 1914. Communications. Inoculation positive de Trypanosoma Cazalboui à un Cercopithecus patas, par R. Trautmann. (Laboratoire de Bamako, Haut-Sénégal et Niger.). / Au sujet de l'existence chez un saurien, Agama colonorum Dum. et Bibr., d'une filaire et d'une microfilaire sanguines, par P. Delanoë	11 février 1914
1318	BSPE-1914-125	LÉGER (Marcel), LE GALLEN (R.)	Communication	Fréquence de Filaria bancrofti chez des sujets de la Guadeloupe ne présentant ni éléphantiasis ni accidents lymphangitiques.	125	1914	7	Séance du 11 février 1914. Communications. Au sujet de l'existence chez un saurien, Agama colonorum Dum. et Bibr., d'une filaire et d'une microfilaire sanguines, par P. Delanoë. (Travail du laboratoire de Bouaké, Côte d'Ivoire.). / Fréquence de Filaria Bancrofti chez des sujets de la Guadeloupe ne présentant ni éléphantiasis ni accidents lymphangitiques, par M. Leger et R. Le Gallen	11 février 1914
1319	BSPE-1914-129	RAILLIET (A.) HENRY (A.), BAUCHE (J.)	Communication	Sur les helminthes de l’éléphant d’Asie. II. Nématodes, A.	129	1914	7	Séance du 11 février 1914. Communications. Fréquence de Filaria Bancrofti chez des sujets de la Guadeloupe ne présentant ni éléphantiasis ni accidents lymphangitiques, par M. Leger et R. Le Gallen. (Ecole d'application du Service de santé des troupes coloniales, Marseille.). / Sur les helminthes de l'éléphant d'Asie. II. Nématodes. A. Par A. Railliet, A. Henry et J. Bauche	11 février 1914
1320	BSPE-1914-132	BRUMPT (Emile)	Communication	Réduvides de l’Amérique du Nord capables de transmettre le Trypanosoma cruzi.	132	1914	7	Séance du 11 février 1914. Communications. Sur les helminthes de l'éléphant d'Asie. II. Nématodes. A. Par A. Railliet, A. Henry et J. Bauche. / Réduvides de l'Amérique du Nord capables de transmettre le Tryp. Cruzi, par E. Brumpt	11 février 1914
1321	BSPE-1914-133	NICOLAS (CH.)	Communication	Quelques cas de fièvres d’origine indéterminée simulant le paludisme en Nouvelle-Calédonie. 	133	1914	7	Séance du 11 février 1914. Communications. Réduvides de l'Amérique du Nord capables de transmettre le Tryp. Cruzi, par E. Brumpt. / Quelques cas de fièvres d'origine indéterminée simulant le paludisme en Nouvelle-Calédonie, par Ch. Nicolas	11 février 1914
1322	BSPE-1914-136	LAVERAN (Alphonse)	Communication	Au sujet d’échantillons de liqueurs de traite.	136	1914	7	Séance du 11 février 1914. Communications. Quelques cas de fièvres d'origine indéterminée simulant le paludisme en Nouvelle-Calédonie, par Ch. Nicolas. / Au sujet d'échantillons de liqueurs de traite, par A. Laveran	11 février 1914
1323	BSPE-1914-137	ROCQUES (X.)	Communication	Analyses d’échantillons de spiritueux provenant de Grand Bassam.	137	1914	7	Séance du 11 février 1914. Communications. Au sujet d'échantillons de liqueurs de traite, par A. Laveran. / Analyses d'échantillons de spiritueux provenant de Grand Bassam, par Xavier Rocques.	11 février 1914
1324	BSPE-1914-140	DUMAS (R.)	Communication	Action de l’émétine sur la dysenterie bacillaire pure.	140	1914	7	Séance du 11 février 1914. Communications. Analyses d'échantillons de spiritueux provenant de Grand Bassam, par Xavier Rocques... / Action de l'émétine sur la dysenterie bacillaire pure, par R. Dumas	11 février 1914
1325	BSPE-1914-142	DOPTER (CH.)	Mémoire	Amibiase et émétine.	142	1914	7	Séance du 11 février 1914. Mémoires. Amibiase et émétine, par Ch. Dopter	11 février 1914
1326	BSPE-1914-151	BROQUET (C.), BRUMPT (Emile), VINCENT	Discussion	Amibiase et émétine. (Discussion)	151	1914	7	Séance du 11 février 1914. Mémoires. Amibiase et émétine, par Ch. Dopter	11 février 1914
1327	BSPE-1914-152	DELANOË (P.)	Mémoire	Le fonctionnement du service de prophylaxie à Bouaké (Côte d’Ivoire) à l’égard des trypanosomiases animales, du 10 juin au 31 décembre 1913. 	152	1914	7	Séance du 11 février 1914. Mémoires. Amibiase et émétine, par Ch. Dopter. / Le fonctionnement du service de prophylaxie à Bouaké (Côte d'Ivoire) à l'égard des trypanosomiases animales, du 10 juin au 31 déc. 1913, par P. Delanoë	11 février 1914
1328	BSPE-1914-160	LAFONT (A.), DUPONT (V.)	Mémoire	Traitement de la trypanosomiase humaine au Sénégal par le ludyl et le galyl.	160	1914	7	Séance du 11 février 1914. Mémoires. Le fonctionnement du service de prophylaxie à Bouaké (Côte d'Ivoire) à l'égard des trypanosomiases animales, du 10 juin au 31 déc. 1913, par P. Delanoë. (Travail du laboratoire de Bouaké.). / Traitement de la trypanosomiase humaine au Sénégal par le ludyl et le galyl, par A. Lafont et V. Dupont	11 février 1914
1329	BSPE-1914-173	LAVERAN (Alphonse)		Au sujet d’un cas de leishmaniose canine signalé à Marseille.	173	1914	7	Séance du 11 mars 1914. A propos du procès-verbal. Au sujet d'un cas de leishmaniose canine signalé à Marseille, par A. Laveran	11 mars 1914
1330	BSPE-1914-176	BERNARD (P. Noel)	Communication	Recherches sur la pathogénie de l’ulcère phagédénique des pays chauds.	176	1914	7	Séance du 11 mars 1914. Communications. Recherches sur la pathogénie de l'ulcère phagédénique des pays chauds, par P. Noël Bernard	11 mars 1914
1331	BSPE-1914-180	COLLIN (L.)	Communication	Le pian ou « Tonga» aux îles Loyalty.	180	1914	7	"Séance du 11 mars 1914. Communications. Le pian ou ""tonga"" aux îles Loyalty, par L. Collin"	11 mars 1914
1332	BSPE-1914-181	LÉGER (A.)	Communication	Le paludisme dans le Haut-Sénégal et Niger. Index endémique de la ville de Bamako.	181	1914	7	Séance du 11 mars 1914. Communications. Le paludisme dans le Haut-Sénégal et Niger. Index endémique de la ville de Bamako, par André Leger	11 mars 1914
1333	BSPE-1914-185	YAKIMOFF (W.L.), SCHOKHOR (N.I.)	Communication	Recherches sur les maladies tropicales humaines et animales au Turkestan. I. Répartition de la leishmaniose canine au Turkestan.	185	1914	7	Séance du 11 mars 1914. Communications. Recherches sur les maladies tropicales humaines et animales au Turkestan. I. Répartition de la leishmaniose canine au Turkestan, par W. L. Yakimoff et N. I. Schokhor	11 mars 1914
1334	BSPE-1914-186	YAKIMOFF (W.L.), SCHOKHOR (N.I.)	Communication	Recherches sur les maladies tropicales humaines et animales au Turkestan. II. La leishmaniose cutanée (bouton d’Orient) spontanée du chien du Turkestan.	186	1914	7	Séance du 11 mars 1914. Communications. Recherches sur les maladies tropicales humaines et animales au Turkestan. II. La leishmaniose cutanée (bouton d'Orient) spontanée du chien du Turkestan, par W. L. Yakimoff et N. I. Schokhor	11 mars 1914
1335	BSPE-1914-187	YAKIMOFF (W.L.), SCHOKHOR (N.I.)	Communication	Recherches sur les maladies tropicales humaines et animales au Turkestan. III. Les trypanosomiases des chameaux et des ânes au Turkestan.	187	1914	7	Séance du 11 mars 1914. Communications. Recherches sur les maladies tropicales humaines et animales au Turkestan. II. La leishmaniose cutanée (bouton d'Orient) spontanée du chien du Turkestan, par W. L. Yakimoff et N. I. Schokhor. / III. Les trypanosomiases des chameaux et des ânes au Turkestan, par W. L. Yakimoff et N. I. Schokhor	11 mars 1914
1336	BSPE-1914-188	YAKIMOFF (W.L.), SCHOKHOR (N.I.)	Communication	Recherches sur les maladies tropicales humaines et animales au Turkestan. IV. Les microfilaires des animaux domestiques au Turkestan.	188	1914	7	Séance du 11 mars 1914. Communications. Recherches sur les maladies tropicales humaines et animales au Turkestan. III. Les trypanosomiases des chameaux et des ânes au Turkestan, par W. L. Yakimoff et N. I. Schokhor. / IV. Les microfilaires des animaux domestiques au Turkestan, par W. L. Yakimoff et N. I. Schokhor	11 mars 1914
1337	BSPE-1914-189	YAKIMOFF (W.L.), SCHOKHOR (N.I.), KOSELKINE (P.-M.), WINOGRADOFF (W.W.), DEMIDOFF (A.-P.)	Communication	Recherches sur les maladies tropicales humaines et animales au Turkestan. V. La microfilariose des chevaux au Turkestan. 	189	1914	7	Séance du 11 mars 1914. Communications. Recherches sur les maladies tropicales humaines et animales au Turkestan. IV. Les microfilaires des animaux domestiques au Turkestan, par W. L. Yakimoff et N. I. Schokhor. / V. La microfilariose des chevaux au Turkestan, par W. L. Yakimoff, N. I. Schokhor, P. M. Koselkine, W. W. Winogradoff et A. P. Demidoff	11 mars 1914
1338	BSPE-1914-192	YAKIMOFF (W.L.)	Communication	Recherches sur les maladies tropicales humaines et animales au Turkestan.VI. La formule leucocytaire du sang des malades renfermant Filaria medinensis.	192	1914	7	"Séance du 11 mars 1914. Communications. Recherches sur les maladies tropicales humaines et animales au Turkestan. V. La microfilariose des chevaux au Turkestan, par W. L. Yakimoff, N. I. Schokhor, P. M. Koselkine, W. W. Winogradoff et A. P. Demidoff. / VI. La formule leucocytaire du sang des malades renfermant ""Filaria medinensis"", par W. L. Yakimoff. [Travaux du laboratoire de la mission pour les recherches des maladies tropicales humaines et animales du Turkestan, envoyée par le Georg Speyerhaus à Francfort-sur-Mein (Directeur M. le Prof. P. Ehrlich), l'Institut impérial de médecine expérimentale et le département vétérinaire de l'Intérieur (Chef de la mission W. L. Yakimoff).]"	11 mars 1914
1339	BSPE-1914-193	LIGNOS (A.)	Communication	La mortalité par kala-azar à Hydra en 1911.	193	1914	7	Séance du 11 mars 1914. Communications. La mortalité par Kala-Azar à Hydra pendant l'année 1911, par Antoine Lignos. / Spécificité de la kératite observée chez les chiens atteints de leishmaniose naturelle, par G. Lemaire, Ed. Sergent et Lhéritier	11 mars 1914
1341	BSPE-1914-196	MESNIL (F.), BLANCHARD (M.)	Communication	Sur l’identification du virus d’un cas de trypanosomiase humaine contractée au laboratoire.	196	1914	7	Séance du 11 mars 1914. Communications. Spécificité de la kératite observée chez les chiens atteints de leishmaniose naturelle, par G. Lemaire, Ed. Sergent et Lhéritier. (Institut Pasteur d'Algérie.). / Sur l'identification du virus d'un cas de trypanosomiase humaine contractée au laboratoire. Note préliminaire, par F. Mesnil et M. Blanchard	11 mars 1914
1342	BSPE-1914-200	DANYSZ (J.)	Communication	Traitement du surra par les composés arsénicaux et arséno-argentiques. Rapports entre les doses tolérées et les doses curatives.	200	1914	7	Séance du 11 mars 1914. Communications. Sur l'identification du virus d'un cas de trypanosomiase humaine contractée au laboratoire. Note préliminaire, par F. Mesnil et M. Blanchard. / Traitement du surra par les composés arsénicaux et arséno-argentiques. Rapports entre les doses tolérées et les doses curatives, par J. Danysz	11 mars 1914
1343	BSPE-1914-202	CONOR (A.)	Communication	Essais de transmission de la bilharziose.	202	1914	7	Séance du 11 mars 1914. Communications. Traitement du surra par les composés arsénicaux et arséno-argentiques. Rapports entre les doses tolérées et les doses curatives, par J. Danysz. / Essais de transmission de la bilharziose, par A. Conor	11 mars 1914
1344	BSPE-1914-206	RAILLIET (A.) HENRY (A.), BAUCHE (J.)	Communication	Sur les Helminthes de l’éléphant d’Asie. III. Nématodes B.	206	1914	7	Séance du 11 mars 1914. Communications. Essais de transmission de la bilharziose, par A. Conor. / Sur les helminthes de l'éléphant d'Asie. III. Nématodes B. Par A. Railliet, A. Henry et J. Bauche	11 mars 1914
1345	BSPE-1914-210	GEDOELST (L.)	Communication	Note sur un genre nouveau d’Œstride.	210	1914	7	Séance du 11 mars 1914. Communications. Sur les helminthes de l'éléphant d'Asie. III. Nématodes B. Par A. Railliet, A. Henry et J. Bauche. / Note sur un genre nouveau d'Oestride, par L. Gedoelst	11 mars 1914
1346	BSPE-1914-212	ROUBAUD (É.)	Communication	Œstrides gastricoles et cavicoles de l’Afrique occidentale française.	212	1914	7	Séance du 11 mars 1914. Communications. Note sur un genre nouveau d'Oestride, par L. Gedoelst. / Oestrides gastricoles et cavicoles de l'Afrique Occidentale Française, par E. Roubaud	11 mars 1914
1347	BSPE-1914-216	BRAULT (J.), MONTPELLIER (J.)	Communication	Mélanodermie physiologique des muqueuses en Algérie.	216	1914	7	Séance du 11 mars 1914. Communications. Mélanodermie physiologique des muqueuses en Algérie, par J. Brault et J. Montpellier	11 mars 1914
1348	BSPE-1914-218	LEBŒUF (A.), SALOMON (E.)	Mémoire	La lèpre en Nouvelle-Calédonie.	218	1914	7	Séance du 11 mars 1914. Mémoires. La lèpre en Nouvelle-Calédonie, par A. Leboeuf et E. Salomon	11 mars 1914
1349	BSPE-1914-232	SARRAILHE (A.)	Mémoire	Notes sur la toxoplasmose expérimentale.	232	1914	7	Séance du 11 mars 1914. Mémoires. La lèpre en Nouvelle-Calédonie, par A. Leboeuf et E. Salomon. [(Institut de microbiologie de Nouméa). (Décembre 1913).]. / Notes sur la toxoplasmose expérimentale, par A. Sarrailhé	11 mars 1914
1350	BSPE-1914-240	LAVERAN (Alphonse), MARULLAZ (M.)	Mémoire	Sur la nature des corps de GRAHAM-SMITH.	240	1914	7	Séance du 11 mars 1914. Mémoires. Notes sur la toxoplasmose expérimentale, par A. Sarrailhé. (Laboratoire de M. Mesnil, à l'Institut Pasteur.). / Sur la nature des corps de Graham-Smith, par A. Laveran et M. Marullaz	11 mars 1914
1351	BSPE-1914-246	DELANOË (P.)	Mémoire	Le fonctionnement du parc vaccinogène de Bouaké (Côte d’Ivoire) du 10 mars au 31 décembre 1913. 	246	1914	7	Séance du 11 mars 1914. Mémoires. Sur la nature des corps de Graham-Smith, par A. Laveran et M. Marullaz. / Le fonctionnement du parc vaccinogène de Bouaké du 10 mars au 31 décembre 1913, par P. Delanoë	11 mars 1914
1352	BSPE-1914-257	KOPKE (A)		À propos de l’article État des méninges et injections intra-rachidiennes de néosalvarsan dans la trypanosomiase humaine. (Bull Soc Pathol Exot, 1914, 7, 6368)	257	1914	7	Séance du 8 avril 1914. A l'occasion du procès-verbal	8 avril 1914
1353	BSPE-1914-262	LE DANTEC (A.)	Communication	Priorité de la découverte du bacille du phagédénisme tropical et de la pourriture d’hôpital.	262	1914	7	Séance du 8 avril 1914. Communications. Priorité de la découverte du bacille du phagédénisme tropical et de la pourriture d'hôpital, par A. Le Dantec	8 avril 1914
1354	BSPE-1914-266	VINCENT	Discussion	Priorité de la découverte du bacille du phagédénisme tropical et de la pourriture d’hôpital. (Discussion) 	266	1914	7	Séance du 8 avril 1914. Communications. Priorité de la découverte du bacille du phagédénisme tropical et de la pourriture d'hôpital, par A. Le Dantec	8 avril 1914
1355	BSPE-1914-268	DISTASO (A.)	Communication	Sur l’étiologie de la Sprue.	268	1914	7	Séance du 8 avril 1914. Communications. Priorité de la découverte du bacille du phagédénisme tropical et de la pourriture d'hôpital, par A. Le Dantec. / Sur l'étiologie de la sprue, par A. Distaso	8 avril 1914
1356	BSPE-1914-270	VINCENT	Discussion	Sur l’étiologie de la Sprue. (Discussion)	270	1914	7	Séance du 8 avril 1914. Communications. Sur l'étiologie de la sprue, par A. Distaso	8 avril 1914
1357	BSPE-1914-271	DELANOË (M.), DELANOË (MME P.)	Communication	De la rareté de Pneumocystis Carinii chez les cobayes dela région de Paris. Absence de kystes chez d’autres animaux (lapin, grenouille, 3 anguilles). 	271	1914	7	Séance du 8 avril 1914. Communications. De la rareté de Pneumocystis Carinii chez les cobayes de la région de Paris. Absence de kystes chez d'autres animaux (lapin, grenouille, 3 anguilles), par M. et Mme P. Delanoë	8 avril 1914
1358	BSPE-1914-272	ROW (R.)	Communication	Generalised leishmaniasis induced in a mouse with the culture of Leishmania tropica of oriental sore.	272	1914	7	Séance du 8 avril 1914. Communications. De la rareté de Pneumocystis Carinii chez les cobayes de la région de Paris. Absence de kystes chez d'autres animaux (lapin, grenouille, 3 anguilles), par M. et Mme P. Delanoë. (Travail du laboratoire de M. Mesnil, à l'Institut Pasteur.). / Generalised Leishmaniasis induced in a mouse with the culture of Leishmania tropica of Oriental sore, par R. Row	8 avril 1914
1359	BSPE-1914-275	LAVERAN (Alphonse)	Discussion	Generalised Leishmaniasis induced in a mouse with the culture of Leishmania tropica of oriental sore. (Discussion)	275	1914	7	Séance du 8 avril 1914. Communications. Generalised Leishmaniasis induced in a mouse with the culture of Leishmania tropica of Oriental sore, par R. Row. (From F. D. Petit Laboratory, Byculla : Bombay.)	8 avril 1914
1360	BSPE-1914-277	CARINI (A.)	Communication	L’émétique dans le traitement de la leishmaniose cutanée et muqueuse.	277	1914	7	Séance du 8 avril 1914. Communications. Generalised Leishmaniasis induced in a mouse with the culture of Leishmania tropica of Oriental sore, par R. Row. / L'émétique dans le traitement de la leishmaniose cutanée et muqueuse, par A. Carini	8 avril 1914
1361	BSPE-1914-281	DELANOË (P.)	Communication	Variations de la virulence de Tr. dimorphon. 	281	1914	7	Séance du 8 avril 1914. Communications. L'émétique dans le traitement de la leishmaniose cutanée et muqueuse, par A. Carini. (Institut Pasteur de Sâo Paulo, Brésil.). / Des variations du pouvoir infectieux et de la virulence de Trypan. dimorphon L. et M. (suite). Deuxième note, par P. Delanoë	8 avril 1914
1362	BSPE-1914-289	CARINI (A.), MACIEL (J.)	Communication	Existence de la maladie de Chagas dans l’état de Sâo Paulo.	289	1914	7	Séance du 8 avril 1914. Communications. Des variations du pouvoir infectieux et de la virulence de Trypan. dimorphon L. et M. (suite). Deuxième note, par P. Delanoë. (Travail du laboratoire de Bouaké, Côte d'Ivoire.). / Existence de la maladie de Chagas dans l'Etat de Sâo Paulo, par A. Carini, et J. Maciel	8 avril 1914
1363	BSPE-1914-292	CARINI (A.), MACIEL (J.)	Communication	Distribution des Triatomes dans l’état de Sâo Paulo.	292	1914	7	Séance du 8 avril 1914. Communications. Existence de la maladie de Chagas dans l'Etat de Sâo Paulo, par A. Carini, et J. Maciel. (Institut Pasteur de Sâo Paulo, Brésil.). / Distribution des triatomes dans l'Etat de Sâo-Paulo, par A. Carini et J. Maciel	8 avril 1914
1364	BSPE-1914-296	RINGENBACH (J.)	Communication	Quelques hématozoaires du Congo.	296	1914	7	Séance du 8 avril 1914. Communications. Quelques hématozoaires du Congo, par J. Ringenbach	8 avril 1914
1365	BSPE-1914-299	LEVADITI (C.)	Communication	À propos du mode d’action des médicaments parasiticides.	299	1914	7	Séance du 8 avril 1914. Communications. Quelques hématozoaires du Congo, par J. Ringenbach. (Mission de délimitation Afrique Equatoriale Française-Cameroun.). / A propos du mode d'action des médicaments parasiticides, par C. Levaditi	8 avril 1914
1366	BSPE-1914-301	PARROT (L.)	Communication	Parasitisme intestinal chez les Arabes du Tell Algérien. Présence d’Hymenolepis nana.	301	1914	7	Séance du 8 avril 1914. Communications. A propos du mode d'action des médicaments parasiticides, par C. Levaditi. / Parasitisme intestinal chez les Arabes du Tell algérien. Présence d'Hymenolepis nana, par L. Parrot	8 avril 1914
1367	BSPE-1914-303	BRAU (P.)	Communication	Amibiase et émétine (tableau réumant les observations faites à l’hôpital de Saïgon).	303	1914	7	Séance du 8 avril 1914. Communications. Parasitisme intestinal chez les Arabes du Tell algérien. Présence d'Hymenolepis nana, par L. Parrot. (Institut Pasteur d'Algérie.). / Amibiase et émétine. Tableau résumant les observations faites à l'Hôpital de Saïgon, par Brau	8 avril 1914
1368	BSPE-1914-310	GRALL (CH.)	Discussion	Amibiase et émétine (tableau réumant les observations faites à l’hôpital de Saïgon). (Discussion)	310	1914	7	Séance du 8 avril 1914. Communications. Amibiase et émétine. Tableau résumant les observations faites à l'Hôpital de Saïgon, par Brau	8 avril 1914
1369	BSPE-1914-313	SIMOND (P. L.), PASTEUR VALLERY-RADOT (LOUIS), KIAMIL (BEY), ASSEO (R. )	Mémoire	Notes sur le choléra à Constantinople et en Thrace,de 1910 à 1913.	313	1914	7	Séance du 8 avril 1914. Mémoires. Notes sur le choléra à Constantinople et en Thrace, de 1910 à 1913, par P. L. Simond et Pasteur Vallery-Radot avec la collaboration de Kiamil Bey et Raphaël Asseo. Historique des épidémies de 1910 à 1913	8 avril 1914
1370	BSPE-1914-365	COUVY (L.)	Correspondance	Bacilles de Hansen dans les ganglions de personnes apparemment saines.	365	1914	7	Séance du 13 mai 1914. Correspondance. Bacilles de Hansen dans les ganglions de personnes apparemment saines, par Couvy	13 mai 1914
1371	BSPE-1914-367	SAMBON (L.)		Présentation de photographies concernant les maladies exotiques des Antilles, en particulier la pellagre.	367	1914	7	Séance du 13 mai 1914. Présentations. Présentation de photographies concernant les maladies exotiques des Antilles, en particulier la pellagre, par L. Sambon	13 mai 1914
1372	BSPE-1914-371	ARGAUD (R.), BRAULT (J.)	Communication	Contribution à l’étude de l’anatomie pathologique et de la pathogénie de l’Ainhum.	371	1914	7	Séance du 13 mai 1914. Communications. Contribution à l'étude de l'anatomie pathologique et de la pathogénie de l'aïnhum, par R. Argaud et J. Brault	13 mai 1914
1373	BSPE-1914-376	LE DANTEC (A.)	Communication	Priorité de la découverte du bacille du phagédénisme tropical et de la pourriture d’hôpital.	376	1914	7	Séance du 13 mai 1914. Communications. Priorité de la découverte du bacille du phagédénisme tropical et de la pourriture d'hôpital, par A. Le Dantec	13 mai 1914
1374	BSPE-1914-380	ESCOMEL (E.)	Communication	Sur l’actinomycose humaine au Pérou.	380	1914	7	Séance du 13 mai 1914. Communications. Priorité de la découverte du bacille du phagédénisme tropical et de la pourriture d'hôpital, par A. Le Dantec. / Sur l'actinomycose humaine au Pérou, par E. Escomel	13 mai 1914
1375	BSPE-1914-382	BILLET (A.), GRENIER (M.)	Communication	Sur la fièvre récurrente au Maroc oriental.	382	1914	7	Séance du 13 mai 1914. Communications. Sur la fièvre récurrente au Maroc Oriental. (Note préliminaire), par A. Billet et M. Grenier	13 mai 1914
1376	BSPE-1914-385	AHMED (E.)	Communication	Une variété nouvelle du parasite de Laveran.	385	1914	7	Séance du 13 mai 1914. Communications. Une variété nouvelle du parasite de Laveran, par Ahmed Emin	13 mai 1914
1377	BSPE-1914-388	MATHIS (C.)	Communication	Épidémie de paludisme ayant sévi dans la province de Sontay durant l’été de 1913.	388	1914	7	Séance du 13 mai 1914. Communications. Epidémie de paludisme ayant sévi dans la province de Sontay durant l'été de 1913, par C. Mathis	13 mai 1914
1378	BSPE-1914-391	LÉGER (A.), (M.)	Communication	Leucocytozoon d’oiseaux du Haut-Sénégal et Niger.	391	1914	7	Séance du 13 mai 1914. Communications. Epidémie de paludisme ayant sévi dans la province de Sontay durant l'été de 1913, par C. Mathis. / Leucocytozoon d'oiseaux du Haut-Sénégal et Niger, par André et Marcel Leger	13 mai 1914
1379	BSPE-1914-395	CARINI (A.), BOTELHO (C.)	Communication	Sur quelques trypanosomes d’oiseaux du Brésil.	395	1914	7	Séance du 13 mai 1914. Communications. Leucocytozoon d'oiseaux du Haut-Sénégal et Niger, par André et Marcel Leger. (Laboratoire de Bamako et Ecole d'application du Service de santé des troupes coloniales à Marseille.). / Sur quelques trypanosomes d'oiseaux du Brésil, par A. Carini et C. Botelho junior	13 mai 1914
1380	BSPE-1914-398	ROUBAUD (É.)	Communication	Le Larbish ou Œrbiss des Ouoloffs, pseudo-myiase rampante sous-cutanée du Sénégal.	398	1914	7	Séance du 13 mai 1914. Communications. Sur quelques trypanosomes d'oiseaux du Brésil, par A. Carini et C. Botelho junior. [Institut Pasteur de S. Paul (Brésil).]. / Le Larbish ou Oerbiss des Ouoloffs, pseudo-myiase rampante sous-cutanée du Sénégal, par E. Roubaud	13 mai 1914
1381	BSPE-1914-402	DUBOIS (A.), CORIN (G.)	Communication	Rapport sur une petite épidémie de béribéri à Bokala (Congo belge).	402	1914	7	Séance du 13 mai 1914. Communications. Rapport sur une petite épidémie de béribéri à Bokala (Congo Belge), par A. Dubois et G. Corin	13 mai 1914
1382	BSPE-1914-405	DUMAS (R.)	Communication	Malades traités par l’émétine à Saïgon et au Cap Saint-Jacques pendant l’année 1913. Dysentries amibiennes ou mixtes.	405	1914	7	Séance du 13 mai 1914. Communications. Rapport sur une petite épidémie de béribéri à Bokala (Congo Belge), par A. Dubois et G. Corin. (Laboratoire et Hôpital pour Noirs de Léopoldville.). / Malades traités par l'émétine à Saïgon et au Cap Saint-Jacques pendant l'année 1913. Dysenteries amibiennes ou mixtes, par R. Dumas	13 mai 1914
1383	BSPE-1914-406	MIRAMOND DE LA ROQUETTE	Communication	Sur l’absorption du rayonnement solaire par la peau et son utilisation dans l’économie animale. 	406	1914	7	Séance du 13 mai 1914. Communications. Malades traités par l'émétine à Saïgon et au Cap Saint-Jacques pendant l'année 1913. Dysenteries amibiennes ou mixtes, par R. Dumas. / Sur l'absorption du rayonnement solaire par la peau et son utilisation dans l'économie animale, par Miramond de Laroquette	13 mai 1914
1384	BSPE-1914-411	NICLOT (F.)	Communication	Des enquêtes et de l’appréciation des statistiques en matière de paludisme.	411	1914	7	Séance du 13 mai 1914. Communications. Des enquêtes et de l'appréciation des statistiques en matière de paludisme, par Niclot	13 mai 1914
1385	BSPE-1914-416	SERGENT (EDM.), FOLEY (H.)	Mémoire	Exploration scientifique du Sahara constantinois (Oued Rir’ – Oued Souf) avril 1912).	416	1914	7	Séance du 13 mai 1914. Mémoires. Exploration scientifique du Sahara Constantinois. Oued Rir'- Oued Souf (avril 1912), par Edm. Sergent et H. Foley	13 mai 1914
1386	BSPE-1914-430	BERNARD (P. Noel)	Mémoire	Sur un Rhizopus pathogène de l’homme : Rhizopus equinus Lucet et Costantin 1903, variété annamensis P.N. Bernard 1914.	430	1914	7	Séance du 13 mai 1914. Mémoires. Sur un Rhizopus pathogène de l'homme : Rhizopus equinus Lucet et Costantin 1903, variété annamensis P. Noël Bernard 1914. Par P. Noël Bernard	13 mai 1914
1387	BSPE-1914-437	LÉGER (A.), (M.)	Mémoire	Les Leucocytozoon : leur dénombrement et essai de classification.	437	1914	7	Séance du 13 mai 1914. Mémoires. Sur un Rhizopus pathogène de l'homme : Rhizopus equinus Lucet et Costantin 1903, variété annamensis P. Noël Bernard 1914. Par P. Noël Bernard. [Travail du laboratoire de Hué (Annam) et de l'Institut Pasteur de Paris.]. / Les Leucocytozoon : leur dénombrement et essai de classification, par Marcel et André Leger	13 mai 1914
1388	BSPE-1914-447	CARDAMATIS (J.P.)	Mémoire	Rapport sur la lutte contre le choléra en Macédoine pendant la guerre Gréco-Bulgare. 	447	1914	7	Séance du 13 mai 1914. Mémoires. Les Leucocytozoon : leur dénombrement et essai de classification, par Marcel et André Leger. (Ecole d'application du Service de santé des troupes coloniales à Marseille.). / Rapport sur la lutte contre le choléra en Macédoine pendant la guerre Gréco-Bulgare, par Jean P. Cardamatis	13 mai 1914
1389	BSPE-1914-461	LAVERAN (Alphonse)		À propos de l’article Les Leucocytozoon : leur dénombrement et essai de classification. (Bull Soc Pathol Exot, 1914, 7, 437-447)	461	1914	7	Séance du 10 juin 1914. A l'occasion du procès-verbal de la dernière séance	10 juin 1914
1390	BSPE-1914-464	BOQUET (A.), NÈGRE (L.)	Communication	Sur la nature mycosique du parasite de la lymphangite épizootique. Formation de gouttelettes d’huile et de filaments.	464	1914	7	Séance du 10 juin 1914. Communications. Sur la nature mycosique du parasite de la lymphangite épizootique. Formation de gouttelettes d'huile et de filaments, par A. Boquet et L. Nègre	10 juin 1914
1391	BSPE-1914-466	DUFOUGÉRÉ (W.)	Communication	La méningite à pneumocoques des tirailleurs sénégalais.	466	1914	7	Séance du 10 juin 1914. Communications. Sur la nature mycosique du parasite de la lymphangite épizootique. Formation de gouttelettes d'huile et de filaments, par A. Boquet et L. Nègre. (Institut Pasteur d'Algérie.). / La méningite à pneumocoques des tirailleurs sénégalais, par W. Dufougeré	10 juin 1914
